Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
epidermis	ARR14	ORA47	7	921	454	0.996004	0.996004	1	1	AT1G14000;AT2G37980;AT2G46740;AT3G05390;AT4G24310;AT5G52830;AT5G60780;
epidermis	ARR14	ORA47_2	7	828	454	0.988574	0.988574	1	1	AT1G48510;AT1G54890;AT2G37980;AT3G61160;AT4G23570;AT5G15510;AT5G27120;
epidermis	ARR14	PIF3	15	901	454	0.578543	0.665479	1	1	AT1G52910;AT1G54890;AT1G65730;AT1G66280;AT2G34180;AT2G37980;AT2G43480;AT3G05390;AT3G15950;AT3G22250;AT5G15510;AT5G35940;AT5G44585;AT5G45510;AT5G61010;
epidermis	ARR14	PIF4	20	852	454	0.0964958	0.491921	1	1	AT1G13530;AT1G48510;AT1G52910;AT1G65730;AT1G66280;AT2G37700;AT2G37980;AT2G40470;AT2G43480;AT3G05390;AT3G15950;AT3G22250;AT3G61160;AT3G62280;AT4G24310;AT4G30080;AT4G37070;AT5G04970;AT5G35940;AT5G44585;
epidermis	ARR14	PIF5	13	924	454	0.799938	0.799938	1	1	AT1G12740;AT1G65730;AT2G37700;AT2G37980;AT2G40470;AT2G43480;AT3G15950;AT3G22250;AT4G23570;AT4G30080;AT5G15510;AT5G35940;AT5G44585;
epidermis	ARR14	RAP2.3	7	752	454	0.974333	0.974333	1	1	AT2G37980;AT3G05390;AT3G61160;AT4G23570;AT5G15510;AT5G27120;AT5G61010;
epidermis	ARR14	RAP2.3_2	9	933	454	0.979887	0.979887	1	1	AT2G22970;AT2G37980;AT2G46740;AT3G22250;AT3G61160;AT4G23570;AT4G24310;AT5G02180;AT5G15510;
epidermis	ARR14	RAP2.3_3ARY	10	999	454	0.977719	0.977719	1	1	AT1G54890;AT1G56630;AT2G22970;AT2G37980;AT2G46740;AT3G05390;AT3G61160;AT4G23570;AT4G24310;AT5G15510;
epidermis	ARR14	RAP2.6	6	784	454	0.992784	0.992784	1	1	AT2G37980;AT3G05390;AT3G61160;AT5G15510;AT5G27120;AT5G61010;
epidermis	ARR14	RAP2.6_2	6	779	454	0.992348	0.992348	1	1	AT2G37980;AT2G46740;AT3G22250;AT4G23570;AT5G15510;AT5G61010;
epidermis	ARR14	RAP2.6_3ARY	7	855	454	0.991524	0.991524	1	1	AT1G14000;AT2G28620;AT2G37980;AT2G46740;AT3G05390;AT5G15510;AT5G52830;
epidermis	ARR14	REM1	13	785	454	0.585714	0.665479	1	1	AT1G48510;AT2G03590;AT2G22970;AT2G47800;AT3G10660;AT3G28550;AT3G59700;AT4G24310;AT4G25350;AT5G11540;AT5G15940;AT5G44585;AT5G57400;
epidermis	ARR14	REM1_2	8	891	454	0.986106	0.986106	1	1	AT2G22970;AT2G34180;AT2G37700;AT2G46740;AT3G28550;AT4G15070;AT4G37070;AT5G35940;
epidermis	ARR14	RRTF1	5	734	454	0.995505	0.995505	1	1	AT2G37980;AT3G05390;AT3G61160;AT5G15510;AT5G27120;
epidermis	ARR14	RRTF1_2	9	941	454	0.981397	0.981397	1	1	AT1G48510;AT2G22970;AT2G37980;AT2G46740;AT3G05390;AT3G61160;AT4G23570;AT4G24310;AT5G15510;
epidermis	ARR14	RRTF1_3ARY	12	1014	454	0.932019	0.932019	1	1	AT1G14000;AT1G48510;AT1G54890;AT2G22970;AT2G37980;AT2G46740;AT3G05390;AT3G61160;AT4G23570;AT4G24310;AT5G02180;AT5G15510;
epidermis	ARR14	RVE1	8	559	454	0.742119	0.742119	1	1	AT2G22970;AT2G46240;AT3G24300;AT3G28550;AT5G14750;AT5G44585;AT5G55520;AT5G61010;
epidermis	ARR14	RVE1_2	5	191	454	0.229418	0.665479	1	1	AT2G22795;AT2G35230;AT3G28550;AT5G11540;AT5G14750;
epidermis	ARR14	SPL1	8	834	454	0.975207	0.975207	1	1	AT1G56630;AT2G37700;AT2G46740;AT4G15070;AT4G24310;AT4G37070;AT5G55520;AT5G61010;
epidermis	ARR14	SPL1_2	7	630	454	0.915836	0.915836	1	1	AT1G56630;AT2G37700;AT2G40470;AT4G24310;AT4G25350;AT4G37070;AT5G60780;
epidermis	ARR14	SPL7	10	826	454	0.90177	0.90177	1	1	AT1G56630;AT1G79840;AT2G37700;AT2G37980;AT3G27490;AT3G62280;AT4G15070;AT4G24310;AT5G60780;AT5G61010;
epidermis	ARR14	STY1	5	960	454	0.999776	0.999776	1	1	AT4G23570;AT4G24310;AT5G14750;AT5G15940;AT5G27120;
epidermis	ARR14	STY1_2	15	863	454	0.510769	0.665479	1	1	AT1G13530;AT1G55700;AT2G35230;AT2G46740;AT3G28550;AT4G16350;AT4G27860;AT4G30080;AT4G37070;AT5G04970;AT5G14750;AT5G27120;AT5G40330;AT5G45510;AT5G57400;
epidermis	ARR14	TCP15	7	826	454	0.988321	0.988321	1	1	AT1G12740;AT2G37980;AT3G22250;AT3G62280;AT4G15070;AT4G23570;AT5G61010;
epidermis	ARR14	TCP16	5	778	454	0.997435	0.997435	1	1	AT1G52910;AT3G22250;AT3G62280;AT4G23570;AT5G15510;
epidermis	ARR14	TCP23	8	848	454	0.978441	0.978441	1	1	AT1G12740;AT2G37980;AT3G22250;AT3G59700;AT3G62280;AT4G15070;AT4G23570;AT5G61010;
epidermis	ARR14	TGA2	8	806	454	0.967377	0.967377	1	1	AT1G13530;AT1G48510;AT1G56630;AT2G46740;AT3G05270;AT4G16350;AT5G11540;AT5G15510;
epidermis	ARR14	TGA2_2	11	846	454	0.859312	0.859312	1	1	AT1G79840;AT2G22970;AT2G28620;AT2G35230;AT3G24300;AT3G28550;AT4G15070;AT5G11540;AT5G15510;AT5G35940;AT5G52830;
epidermis	ARR14	TOE1	9	757	454	0.902769	0.902769	1	1	AT1G48510;AT1G55700;AT1G65730;AT2G37700;AT2G46740;AT4G24310;AT4G31650;AT5G04970;AT5G52830;
epidermis	ARR14	TOE1_2	7	810	454	0.986101	0.986101	1	1	AT1G55700;AT1G65730;AT2G22970;AT3G45390;AT4G24310;AT4G30080;AT5G27120;
epidermis	ARR14	TOE1_3ARY	8	691	454	0.906868	0.906868	1	1	AT2G22970;AT2G40470;AT3G24300;AT3G61160;AT4G24310;AT4G25350;AT5G15940;AT5G27120;
epidermis	ARR14	TOE2	9	698	454	0.84622	0.84622	1	1	AT1G55700;AT1G56630;AT1G65730;AT2G37700;AT2G46740;AT4G24310;AT4G31650;AT5G04970;AT5G52830;
epidermis	ARR14	TOE2_2	9	759	454	0.904333	0.904333	1	1	AT1G55700;AT1G65730;AT2G22970;AT2G34180;AT3G45390;AT4G24310;AT4G25350;AT4G30080;AT5G27120;
epidermis	ARR14	TOE2_3ARY	11	638	454	0.531146	0.665479	1	1	AT1G52910;AT1G54890;AT2G22970;AT2G40470;AT3G61160;AT4G23570;AT4G24310;AT4G25350;AT5G15940;AT5G27120;AT5G44585;
epidermis	ARR14	WOX13	11	733	454	0.711267	0.711267	1	1	AT1G14000;AT2G22795;AT2G28620;AT2G46240;AT3G05270;AT3G05390;AT3G10660;AT3G24300;AT3G61160;AT3G62280;AT4G15070;
epidermis	ARR14	WOX13_2	9	717	454	0.866752	0.866752	1	1	AT1G48510;AT1G52910;AT2G22970;AT2G34180;AT3G22250;AT3G24300;AT3G27490;AT4G37070;AT5G14750;
epidermis	ARR14	WRKY12	24	913	454	0.0255599	0.248254	1	1	AT1G02440;AT1G13530;AT1G14000;AT1G48510;AT1G52910;AT1G54890;AT1G56630;AT2G03590;AT2G47800;AT3G05390;AT3G22250;AT3G28550;AT3G45390;AT3G55150;AT3G59700;AT4G15070;AT4G16350;AT4G23570;AT4G24310;AT4G25350;AT4G37070;AT5G40330;AT5G44585;AT5G61010;
epidermis	ARR14	WRKY18	20	981	454	0.240296	0.665479	1	1	AT1G02440;AT1G14000;AT1G52910;AT1G79840;AT2G22795;AT2G37700;AT2G40470;AT2G47800;AT3G05390;AT3G24300;AT3G28550;AT3G45390;AT3G59700;AT4G16350;AT4G23570;AT4G24310;AT4G31650;AT4G37070;AT5G11540;AT5G44585;
epidermis	ARR14	WRKY38	23	887	454	0.032449	0.282859	1	1	AT1G02440;AT1G14000;AT1G52910;AT1G54890;AT2G03590;AT2G34180;AT2G47800;AT3G05390;AT3G22250;AT3G28550;AT3G45390;AT3G55150;AT3G59700;AT3G62280;AT4G15070;AT4G16350;AT4G23570;AT4G24310;AT4G25350;AT4G37070;AT5G40330;AT5G44585;AT5G61010;
epidermis	ARR14	WRKY45	25	843	454	0.005801	0.0989008	1	1	AT1G02440;AT1G13530;AT1G14000;AT1G48510;AT1G52910;AT1G54890;AT2G03590;AT2G28620;AT2G34180;AT2G47800;AT3G05390;AT3G22250;AT3G28550;AT3G45390;AT3G55150;AT3G59700;AT3G62280;AT4G15070;AT4G16350;AT4G24310;AT4G25350;AT4G37070;AT5G40330;AT5G44585;AT5G61010;
epidermis	ARR14	YAB1	11	617	454	0.486471	0.665479	1	1	AT1G14000;AT2G03590;AT3G15950;AT3G24300;AT5G11540;AT5G14750;AT5G45510;AT5G57400;AT5G60770;AT5G60780;AT5G61010;
epidermis	ARR14	YAB5	19	734	454	0.0493894	0.345726	1	1	AT1G02440;AT1G12740;AT1G52910;AT1G66280;AT2G03590;AT2G22970;AT2G40470;AT2G46240;AT2G47800;AT3G10660;AT3G15950;AT3G27490;AT4G15070;AT5G14750;AT5G15940;AT5G35940;AT5G44585;AT5G57400;AT5G60770;
epidermis	ARR14	ZAT14	11	871	454	0.882238	0.882238	1	1	AT1G52910;AT2G03590;AT2G46240;AT3G15950;AT3G22250;AT3G28550;AT4G23570;AT4G25350;AT5G02180;AT5G35940;AT5G57400;
epidermis	ARR14	ZAT18	8	872	454	0.983099	0.983099	1	1	AT1G52910;AT1G54890;AT2G43480;AT3G15950;AT3G45390;AT4G15070;AT4G23570;AT5G57400;
epidermis	ARR14	ZAT2	11	1047	454	0.971501	0.971501	1	1	AT1G48510;AT2G34180;AT2G35230;AT2G37700;AT3G05390;AT3G10660;AT3G15950;AT3G28550;AT4G24310;AT5G27120;AT5G44585;
epidermis	ARR14	ZAT6	10	684	454	0.735223	0.735223	1	1	AT1G54890;AT2G03590;AT2G22795;AT2G37980;AT2G47800;AT3G28550;AT3G55150;AT5G11540;AT5G14750;AT5G40330;
epidermis	ARR14_2	ARR14_3ARY	2	172	454	0.795318	0.795318	1	1	AT2G43480;AT5G26260;
epidermis	ARR14_2	AT1G77200	13	1004	454	0.87983	0.87983	1	1	AT1G20970;AT2G22795;AT2G24170;AT2G37260;AT2G37980;AT2G38870;AT3G07000;AT3G10660;AT3G48260;AT3G49601;AT4G03820;AT4G30080;AT4G37820;
epidermis	ARR14_2	AT4G35610	14	1098	454	0.899454	0.899454	1	1	AT1G58037;AT2G27660;AT2G35230;AT2G44380;AT3G07000;AT3G10660;AT3G21620;AT3G46810;AT3G48260;AT3G58600;AT4G15070;AT5G18860;AT5G35940;AT5G44585;
epidermis	ARR14_2	AT5G28300	11	1045	454	0.970995	0.970995	1	1	AT1G26700;AT1G63100;AT1G80240;AT2G44380;AT3G29075;AT3G48260;AT3G54270;AT3G58600;AT4G00080;AT4G26630;AT5G15510;
epidermis	ARR14_2	ATERF1	13	1161	454	0.962606	0.962606	1	1	AT1G16030;AT1G20970;AT1G80240;AT2G37980;AT2G38870;AT3G07000;AT4G03820;AT4G05160;AT5G15510;AT5G23820;AT5G25440;AT5G35940;AT5G66230;
epidermis	ARR14_2	ATERF1_2	10	1028	454	0.98305	0.98305	1	1	AT1G06320;AT1G20970;AT2G37980;AT4G03820;AT4G05160;AT4G15070;AT5G35940;AT5G44585;AT5G45510;AT5G66870;
epidermis	ARR14_2	ATHB12	22	786	454	0.0171001	0.188101	1	1	AT1G20970;AT1G58037;AT1G63100;AT1G69810;AT1G73160;AT1G73280;AT2G22795;AT2G24170;AT2G27660;AT2G37260;AT2G43040;AT2G44380;AT3G05270;AT3G10660;AT3G62280;AT3G63470;AT4G05160;AT4G15070;AT4G25400;AT5G23820;AT5G57400;AT5G66230;
epidermis	ARR14_2	ATHB51	23	677	454	0.00154124	0.0385309	0.699722	1	AT1G33240;AT1G65730;AT1G66280;AT1G73280;AT2G27660;AT2G37260;AT2G43480;AT2G44380;AT2G46140;AT3G29780;AT3G59850;AT3G63470;AT4G05160;AT4G25350;AT4G25400;AT4G33790;AT5G11540;AT5G15510;AT5G23820;AT5G24230;AT5G45510;AT5G55520;AT5G57400;
epidermis	ARR14_2	BZIP60	22	982	454	0.120743	0.57387	1	1	AT1G20970;AT1G22400;AT1G33240;AT1G80240;AT2G22795;AT2G27660;AT2G38870;AT2G40750;AT3G05270;AT3G07000;AT3G28380;AT3G46810;AT4G05160;AT4G15070;AT4G33790;AT4G37820;AT5G03040;AT5G11540;AT5G15510;AT5G18860;AT5G25440;AT5G40510;
epidermis	ARR14_2	BZIP60_2	22	1019	454	0.156917	0.627668	1	1	AT1G22400;AT1G65730;AT1G80240;AT2G27660;AT2G46140;AT3G46810;AT3G63470;AT4G03820;AT4G10370;AT4G15070;AT4G26630;AT4G37820;AT5G03040;AT5G13820;AT5G15510;AT5G18860;AT5G25440;AT5G26260;AT5G35940;AT5G40510;AT5G62340;AT5G66230;
epidermis	ARR14_2	CCA1	7	593	454	0.883144	0.883144	1	1	AT2G46140;AT3G15950;AT3G29075;AT4G00080;AT5G26260;AT5G44585;AT5G55520;
epidermis	ARR14_2	CCA1_2	3	186	454	0.618829	0.665479	1	1	AT1G23160;AT5G11540;AT5G26260;
epidermis	ARR14_2	DAG2	11	758	454	0.750595	0.750595	1	1	AT1G06320;AT1G16030;AT1G33240;AT1G73280;AT2G24170;AT2G35230;AT2G43040;AT3G15950;AT3G51340;AT3G54270;AT5G03040;
epidermis	ARR14_2	DDF1	19	1029	454	0.398334	0.665479	1	1	AT1G06320;AT1G20970;AT1G80240;AT2G37260;AT2G37980;AT2G38870;AT2G44380;AT3G07000;AT3G28380;AT3G29075;AT3G49601;AT3G58600;AT4G03820;AT4G05160;AT4G15070;AT4G30080;AT4G33790;AT4G37820;AT5G11540;
epidermis	ARR14_2	DEAR3	11	1114	454	0.984482	0.984482	1	1	AT2G22795;AT2G24170;AT2G37260;AT2G37980;AT2G38870;AT4G03820;AT4G24310;AT5G25440;AT5G26260;AT5G40510;AT5G66230;
epidermis	ARR14_2	DEAR3_2	10	752	454	0.830497	0.830497	1	1	AT2G24170;AT2G37260;AT2G38870;AT3G48260;AT3G58600;AT4G03480;AT4G03820;AT4G05160;AT4G25350;AT4G37820;
epidermis	ARR14_2	DEAR4	14	937	454	0.733441	0.733441	1	1	AT1G20970;AT2G22795;AT2G24170;AT2G37260;AT2G37980;AT2G38870;AT2G38940;AT3G07000;AT3G10660;AT3G48260;AT4G03820;AT4G30080;AT5G11540;AT5G40510;
epidermis	ARR14_2	DEAR4_2	12	1197	454	0.985455	0.985455	1	1	AT1G06320;AT1G16030;AT1G20970;AT2G37980;AT3G29780;AT4G03820;AT4G05160;AT5G15510;AT5G25440;AT5G35940;AT5G40510;AT5G66230;
epidermis	ARR14_2	DOF5.7	12	927	454	0.871816	0.871816	1	1	AT1G16030;AT1G22400;AT2G37540;AT2G43040;AT3G49601;AT3G51340;AT4G25400;AT4G30080;AT4G31650;AT5G03040;AT5G12480;AT5G35940;
epidermis	ARR14_2	DOF5.7_2	27	979	454	0.0106009	0.148412	1	1	AT1G52910;AT1G56630;AT1G65730;AT1G69810;AT1G80240;AT2G24170;AT2G27660;AT2G37980;AT2G38940;AT2G43040;AT3G04320;AT3G28380;AT3G28550;AT3G48260;AT3G54270;AT3G58600;AT3G63470;AT4G05160;AT4G10370;AT4G15070;AT4G24310;AT4G25350;AT4G31650;AT5G11540;AT5G15940;AT5G25440;AT5G40510;
epidermis	ARR14_2	DREB2C	14	1293	454	0.977037	0.977037	1	1	AT1G16030;AT1G52910;AT2G24170;AT2G37260;AT2G37980;AT2G38870;AT3G62280;AT4G00080;AT4G03820;AT4G15070;AT4G25350;AT5G15510;AT5G40510;AT5G66870;
epidermis	ARR14_2	DREB2C_2	12	970	454	0.905486	0.905486	1	1	AT1G20970;AT2G22795;AT2G24170;AT2G37260;AT2G37980;AT2G38870;AT3G07000;AT3G48260;AT4G03820;AT4G37820;AT5G26260;AT5G40510;
epidermis	ARR14_2	ERF1	10	1078	454	0.989577	0.989577	1	1	AT1G20970;AT2G37260;AT2G37980;AT2G38870;AT4G03820;AT4G05160;AT5G15510;AT5G25440;AT5G26260;AT5G66870;
epidermis	ARR14_2	ETT	9	770	454	0.912563	0.912563	1	1	AT1G20970;AT1G80240;AT2G22795;AT2G37980;AT2G38870;AT3G05270;AT3G10660;AT3G51340;AT4G05160;
epidermis	ARR14_2	ETT_2	18	998	454	0.441917	0.665479	1	1	AT1G16030;AT1G22400;AT1G52910;AT2G27660;AT2G38870;AT2G44380;AT3G07000;AT3G28380;AT3G48260;AT3G49601;AT3G54270;AT3G58600;AT4G03820;AT4G10370;AT4G15070;AT4G25350;AT5G46040;AT5G62340;
epidermis	ARR14_2	GATA12	0	36	454	1	1	1	1	
epidermis	ARR14_2	GLK1	6	520	454	0.881968	0.881968	1	1	AT1G16030;AT1G22400;AT1G23160;AT4G25400;AT5G26260;AT5G66870;
epidermis	ARR14_2	GLK1_2	3	248	454	0.798778	0.798778	1	1	AT4G26630;AT4G30080;AT5G35940;
epidermis	ARR14_2	HSFB2A	12	762	454	0.654235	0.665479	1	1	AT1G16030;AT1G20970;AT2G37260;AT2G43040;AT3G05270;AT3G51340;AT4G10370;AT4G26630;AT4G30080;AT5G15130;AT5G18860;AT5G44585;
epidermis	ARR14_2	HSFB2A_2	6	888	454	0.997952	0.997952	1	1	AT1G16030;AT2G22795;AT3G28550;AT4G00080;AT5G15940;AT5G23820;
epidermis	ARR14_2	HSFC1	12	907	454	0.853197	0.853197	1	1	AT1G16030;AT1G23160;AT1G33612;AT1G63100;AT2G22795;AT2G38940;AT3G28550;AT3G51340;AT4G00080;AT4G24310;AT5G04970;AT5G15940;
epidermis	ARR14_2	HSFC1_2	11	797	454	0.804414	0.804414	1	1	AT1G16030;AT1G20970;AT1G80240;AT2G37260;AT2G43040;AT3G05270;AT4G03820;AT4G26630;AT4G30080;AT5G15130;AT5G66870;
epidermis	ARR14_2	ICU4	22	698	454	0.00472009	0.0896818	1	1	AT1G20970;AT1G65730;AT1G73280;AT2G22795;AT2G37260;AT2G43040;AT2G43480;AT2G46140;AT3G10660;AT3G16370;AT3G63470;AT4G05160;AT4G25400;AT4G26630;AT4G33790;AT5G04970;AT5G15510;AT5G35940;AT5G40510;AT5G45510;AT5G47950;AT5G57400;
epidermis	ARR14_2	KAN1	12	585	454	0.300971	0.665479	1	1	AT1G23160;AT1G30720;AT2G37540;AT2G38940;AT2G40750;AT3G04320;AT3G05270;AT3G18450;AT3G28550;AT4G10370;AT5G13820;AT5G26260;
epidermis	ARR14_2	KAN4	17	811	454	0.22797	0.665479	1	1	AT1G02440;AT1G52910;AT1G65730;AT1G69810;AT2G27660;AT2G38940;AT2G40750;AT2G44380;AT2G46140;AT3G05270;AT3G10660;AT3G18450;AT3G21620;AT3G28550;AT3G51340;AT4G10370;AT5G13820;
epidermis	ARR14_2	KAN4_2	22	772	454	0.014219	0.170628	1	1	AT1G02440;AT1G65730;AT1G69810;AT2G37540;AT2G38940;AT2G40750;AT2G46140;AT3G04320;AT3G10660;AT3G16370;AT3G18450;AT3G21620;AT3G48260;AT3G54270;AT3G62280;AT3G63470;AT4G05160;AT4G10370;AT4G15070;AT4G33790;AT5G13820;AT5G44585;
epidermis	ARR14_2	LBD16	16	1382	454	0.964638	0.964638	1	1	AT1G16030;AT1G20970;AT1G22400;AT1G26700;AT1G52910;AT1G58037;AT2G24170;AT2G40750;AT2G44380;AT3G28380;AT3G51340;AT4G10370;AT4G24310;AT4G30080;AT5G55520;AT5G57400;
epidermis	ARR14_2	MYB111	14	848	454	0.590869	0.665479	1	1	AT1G58037;AT1G80240;AT2G37260;AT2G38940;AT2G44380;AT3G05270;AT3G10660;AT3G49601;AT3G58600;AT4G05160;AT4G33790;AT5G13820;AT5G23820;AT5G66230;
epidermis	ARR14_2	MYB111_2	16	898	454	0.468711	0.665479	1	1	AT2G37260;AT2G40750;AT2G44380;AT3G05270;AT3G10660;AT3G19320;AT3G49601;AT3G58600;AT4G05160;AT4G19030;AT4G24310;AT4G31650;AT4G33790;AT5G13820;AT5G23820;AT5G40510;
epidermis	ARR14_2	MYB46	16	864	454	0.407701	0.665479	1	1	AT1G06320;AT1G16030;AT1G58037;AT1G80240;AT2G37260;AT2G38940;AT2G43040;AT3G05270;AT3G10660;AT3G49601;AT4G33790;AT5G13820;AT5G23820;AT5G40510;AT5G55520;AT5G66230;
epidermis	ARR14_2	MYB46_2	25	890	454	0.0110477	0.153538	1	1	AT1G06320;AT1G16030;AT1G22400;AT1G63100;AT1G66280;AT2G24170;AT2G37260;AT2G37980;AT2G40750;AT2G44380;AT3G05270;AT3G07000;AT3G19320;AT3G48260;AT3G58600;AT4G03480;AT4G24310;AT4G25350;AT4G25400;AT4G37820;AT5G04970;AT5G13820;AT5G26260;AT5G40510;AT5G44585;
epidermis	ARR14_2	MYB52	17	1225	454	0.842323	0.842323	1	1	AT1G52910;AT1G58037;AT1G63100;AT1G69810;AT2G24170;AT2G37260;AT3G21620;AT3G28380;AT3G51340;AT4G03820;AT4G24310;AT5G11540;AT5G15510;AT5G25440;AT5G40510;AT5G55520;AT5G66230;
epidermis	ARR14_2	MYB52_2	23	823	454	0.0152296	0.182755	1	1	AT1G02440;AT1G06320;AT1G16030;AT1G52910;AT1G56630;AT1G58037;AT2G24170;AT2G37260;AT2G37980;AT2G38940;AT3G05270;AT3G19320;AT3G28380;AT3G29780;AT3G49601;AT3G54270;AT3G58600;AT4G33790;AT5G13820;AT5G26260;AT5G40510;AT5G47950;AT5G66230;
epidermis	ARR14_2	MYB55	21	1033	454	0.237404	0.665479	1	1	AT1G16030;AT1G26700;AT1G33240;AT1G63100;AT1G80240;AT2G37260;AT2G40750;AT2G43040;AT3G05270;AT3G10660;AT3G28380;AT3G49601;AT3G58600;AT4G03820;AT4G33790;AT5G11540;AT5G13820;AT5G23820;AT5G40510;AT5G55520;AT5G66230;
epidermis	ARR14_2	MYB55_2	20	951	454	0.200683	0.665479	1	1	AT1G16030;AT1G63100;AT2G24170;AT2G35230;AT2G37260;AT2G40750;AT2G44380;AT3G05270;AT3G07000;AT3G19320;AT3G48260;AT3G58600;AT4G03480;AT4G24310;AT4G25400;AT4G33790;AT5G13820;AT5G26260;AT5G40510;AT5G66230;
epidermis	ARR14_2	MYB59	13	842	454	0.684654	0.684654	1	1	AT1G22400;AT1G58037;AT1G80240;AT2G35230;AT2G37260;AT2G38870;AT2G38940;AT3G05270;AT3G29780;AT3G49601;AT4G30080;AT5G13820;AT5G47950;
epidermis	ARR14_2	MYC2	31	963	454	0.00062062	0.0211011	0.281761	1	AT1G22400;AT1G23160;AT1G30720;AT1G33240;AT1G58037;AT1G65730;AT1G66280;AT1G73160;AT1G80240;AT2G37260;AT2G37980;AT2G43480;AT3G04320;AT3G15950;AT3G19320;AT3G29075;AT3G49601;AT3G59850;AT3G63470;AT4G00080;AT4G10370;AT4G24310;AT4G30080;AT5G04970;AT5G13820;AT5G18860;AT5G23820;AT5G26260;AT5G62340;AT5G66230;AT5G66870;
epidermis	ARR14_2	MYC3	31	979	454	0.000811115	0.0259557	0.368246	1	AT1G22400;AT1G23160;AT1G33240;AT1G52910;AT1G58037;AT1G65730;AT1G66280;AT1G73160;AT1G80240;AT2G37260;AT2G37980;AT2G43480;AT2G46140;AT3G04320;AT3G15950;AT3G29075;AT3G48260;AT3G49601;AT3G54270;AT3G59850;AT3G63470;AT4G00080;AT4G10370;AT4G30080;AT5G13820;AT5G23820;AT5G26260;AT5G35940;AT5G44585;AT5G62340;AT5G66870;
epidermis	ARR14_2	MYC4	32	987	454	0.000450956	0.0163511	0.204734	1	AT1G22400;AT1G23160;AT1G26700;AT1G33240;AT1G52910;AT1G58037;AT1G65730;AT1G66280;AT1G73160;AT1G80240;AT2G37260;AT2G37980;AT2G43480;AT2G46140;AT3G15950;AT3G19320;AT3G29075;AT3G49601;AT3G54270;AT3G59850;AT3G63470;AT4G00080;AT4G10370;AT4G15070;AT4G30080;AT5G13820;AT5G18860;AT5G23820;AT5G26260;AT5G35940;AT5G66230;AT5G66870;
epidermis	ARR14_2	ORA47	14	1138	454	0.923888	0.923888	1	1	AT1G16030;AT1G26700;AT1G33240;AT2G24170;AT2G37980;AT2G38870;AT3G07000;AT3G28380;AT3G58600;AT4G00080;AT4G03820;AT4G05160;AT4G24310;AT4G37820;
epidermis	ARR14_2	ORA47_2	10	1177	454	0.996217	0.996217	1	1	AT1G16030;AT1G80240;AT2G37980;AT2G38870;AT3G48260;AT4G03820;AT4G05160;AT4G24310;AT5G25440;AT5G66230;
epidermis	ARR14_2	PIF3	25	1047	454	0.0594837	0.393121	1	1	AT1G22400;AT1G33240;AT1G52910;AT1G65730;AT1G66280;AT1G73160;AT1G80240;AT2G37260;AT2G37980;AT2G43480;AT3G15950;AT3G29075;AT3G48260;AT3G59850;AT3G63470;AT4G19030;AT4G37820;AT5G13820;AT5G23820;AT5G26260;AT5G35940;AT5G40510;AT5G44585;AT5G45510;AT5G66870;
epidermis	ARR14_2	PIF4	36	1012	454	3.15453e-05	0.00215735	0.0143215	0.598855	AT1G20970;AT1G22400;AT1G23160;AT1G26700;AT1G33240;AT1G52910;AT1G58037;AT1G65730;AT1G66280;AT1G73160;AT1G80240;AT2G37260;AT2G37980;AT2G43480;AT2G46140;AT3G15950;AT3G29075;AT3G29780;AT3G59850;AT3G62280;AT3G63470;AT4G00080;AT4G10370;AT4G19030;AT4G24310;AT4G30080;AT5G04970;AT5G13820;AT5G18860;AT5G23820;AT5G26260;AT5G35940;AT5G44585;AT5G62340;AT5G66230;AT5G66870;
epidermis	ARR14_2	PIF5	25	1070	454	0.0723444	0.434067	1	1	AT1G16030;AT1G22400;AT1G33240;AT1G58037;AT1G65730;AT1G80240;AT2G37260;AT2G37980;AT2G43480;AT2G46140;AT3G15950;AT3G29075;AT3G48260;AT3G59850;AT4G00080;AT4G10370;AT4G30080;AT5G13820;AT5G15510;AT5G23820;AT5G35940;AT5G44585;AT5G62340;AT5G66230;AT5G66870;
epidermis	ARR14_2	RAP2.3	13	1177	454	0.967172	0.967172	1	1	AT1G16030;AT1G80240;AT2G37980;AT2G38870;AT2G43040;AT3G29780;AT4G03820;AT4G05160;AT5G15510;AT5G25440;AT5G35940;AT5G40510;AT5G66870;
epidermis	ARR14_2	RAP2.3_2	11	1064	454	0.975496	0.975496	1	1	AT1G20970;AT2G37980;AT2G38870;AT3G28380;AT3G29780;AT4G03820;AT4G05160;AT4G24310;AT5G15510;AT5G25440;AT5G66870;
epidermis	ARR14_2	RAP2.3_3ARY	7	1098	454	0.999534	0.999534	1	1	AT1G20970;AT1G56630;AT2G37980;AT2G38870;AT3G29780;AT4G03820;AT4G24310;
epidermis	ARR14_2	RAP2.6	10	1183	454	0.99645	0.99645	1	1	AT1G16030;AT1G80240;AT2G37980;AT2G38870;AT4G03820;AT4G05160;AT5G15510;AT5G25440;AT5G35940;AT5G40510;
epidermis	ARR14_2	RAP2.6_2	9	889	454	0.969385	0.969385	1	1	AT1G26700;AT2G37980;AT2G38870;AT2G43040;AT3G29780;AT4G05160;AT4G33790;AT5G15510;AT5G66870;
